Comment,Designator,Footprint,LCSC Part #
TPS54331DDAR,U1,SOIC-8-EP,C90761
INA226AIDGSR,U2,MSOP-10,C49851
BSS138LT1G,"Q1,Q2,Q3,Q4",SOT-23,C82045
AO4407A,Q5,SOIC-8,C2841482
SS34,D1,SMA,C8678
BZT52C12,D2,SOD-123,C173429
XL-1615RGBC-RF,D3,SMD1615,C965840
SWPA6045S100MT,L1,SMD6045,C79272
KF301-5.0-2P,"J1,J2",P5.0-2P,C474881
SM04B-SRSS-TB,"J3,J4",JST-SH-4P,C160404
10mR 3W 1%,R1,R2512,C5375464
10K 0603 1%,"R2,R8,R9,R10,R11,R12,R13,R14,R15,R16",R0603,C25804
120K 0603 1%,R3,R0603,C25808
33K 0603 1%,R4,R0603,C4216
27K 0603 1%,R5,R0603,C22967
5.1K 0603 1%,R6,R0603,C23186
24K 0603 1%,R7,R0603,C23352
330R 0603 1%,"R17,R18,R19",R0603,C23138
4.7uF 50V X7R 1206,"C1,C2",C1206,C51205
100nF 50V X7R 0603,"C3,C4,C10",C0603,C14663
10nF 50V 0603,C5,C0603,C57112
1nF 50V 0603,C6,C0603,C1588
100pF 50V 0603,C7,C0603,C14858
22uF 25V X5R 1206,"C8,C9",C1206,C12891
