Designator,Comment,Footprint,Mid X,Mid Y,Rotation,Layer
C1,4.7uF 50V,C_1206_3216Metric,15.550000,27.550000,90,top
C2,4.7uF 50V,C_1206_3216Metric,21.050000,28.550000,0,top
C3,C3,C_0603_1608Metric,25.550000,28.550000,0,top
C4,C4,C_0603_1608Metric,20.050000,26.550000,0,top
C5,C5,C_0603_1608Metric,15.050000,13.550000,0,top
C6,C6,C_0603_1608Metric,30.550000,17.550000,90,top
C7,C7,C_0603_1608Metric,28.550000,17.550000,-90,top
C8,22uF 25V,C_1206_3216Metric,35.050000,18.050000,90,top
C9,22uF 25V,C_1206_3216Metric,35.050000,26.050000,90,top
C10,C10,C_0603_1608Metric,10.550000,31.050000,0,top
D1,SS34,D_SMA,26.050000,26.550000,0,top
D2,BZT52C12,D_SOD-123,14.550000,10.550000,0,top
D3,XL-1615RGBC-RF,XL1615RGBC,43.050000,38.050000,0,top
J1,VIN 7-24V,KF301_5.0_2P,17.050000,5.050000,180,top
J2,5V OUT,KF301_5.0_2P,28.050000,5.050000,180,top
J3,Qwiic,JST_SH_SM04B-SRSS-TB_1x04-1MP_P1.00mm_Horizontal,3.650000,46.550000,-90,top
J4,Qwiic,JST_SH_SM04B-SRSS-TB_1x04-1MP_P1.00mm_Horizontal,41.550000,3.250000,180,top
L1,10uH,SWPA6045S,32.050000,22.050000,0,top
Q1,BSS138LT1G,SOT-23,39.550000,11.050000,180,top
Q2,BSS138LT1G,SOT-23,39.550000,17.050000,180,top
Q3,BSS138LT1G,SOT-23,39.550000,23.050000,180,top
Q4,BSS138LT1G,SOT-23,39.550000,29.050000,180,top
Q5,AO4407A,SOIC-8_3.9x4.9mm_P1.27mm,8.550000,12.050000,0,top
R1,10mR 3W,R_2512_6332Metric,7.050000,19.550000,90,top
R2,R2,R_0603_1608Metric,19.550000,10.550000,0,top
R3,R3,R_0603_1608Metric,13.050000,20.050000,90,top
R4,R4,R_0603_1608Metric,13.050000,23.550000,90,top
R5,R5,R_0603_1608Metric,24.550000,17.550000,90,top
R6,R6,R_0603_1608Metric,22.550000,17.550000,-90,top
R7,R7,R_0603_1608Metric,26.550000,17.550000,-90,top
R8,R8,R_0603_1608Metric,43.550000,11.050000,0,top
R9,R9,R_0603_1608Metric,43.550000,17.050000,0,top
R10,R10,R_0603_1608Metric,43.550000,23.050000,0,top
R11,R11,R_0603_1608Metric,43.550000,29.050000,0,top
R12,R12,R_0603_1608Metric,47.050000,11.050000,0,top
R13,R13,R_0603_1608Metric,47.050000,17.050000,0,top
R14,R14,R_0603_1608Metric,47.050000,23.050000,0,top
R15,R15,R_0603_1608Metric,47.050000,29.050000,0,top
R16,R16,R_0603_1608Metric,10.050000,24.050000,0,top
R17,R17,R_0603_1608Metric,47.050000,35.550000,0,top
R18,R18,R_0603_1608Metric,47.050000,38.050000,0,top
R19,R19,R_0603_1608Metric,47.050000,40.550000,0,top
U1,TPS54331DDAR,TI_SO-PowerPAD-8,20.050000,22.050000,0,top
U2,INA226AIDGSR,MSOP-10_3x3mm_P0.5mm,8.550000,27.050000,0,top
